SITE_ID,UID,VISIT_NO,REF_NWCA,NWCA_ECO4,NWCA_WET_GRP,TOTN_SPP,TOTN_FAM,H_ALL,J_ALL,D_ALL,TOTN_NATSPP,TOTN_INTRSPP,H_NAT,J_NAT,D_NAT,N_GRAMINOID,N_FORB,N_HERB,N_SHRUB,N_TREE,N_ANNUAL,N_PERENNIAL,FREQ_SUBMERGED_AQ,FREQ_FLOATING_AQ,FREQ_VTALL_VEG,FREQ_TALL_VEG,FREQ_HMED_VEG,FREQ_MED_VEG,FREQ_SMALL_VEG,FREQ_VSMALL_VEG,FREQ_H2O,FREQ_LITTER,FREQ_EXPOSED_SOIL,FREQ_EXPOSED_GRAVEL,XABCOV_AC,ELEVMAX_200M,ELEVMEAN_200M,ELEVMIN_200M,PCVPY_PT,PIP_PT,PMAX_PT,PMEAN_PT,PMIN_PT,TIP_PT,TMAX_PT,TMAXSD_PT,TMEAN_PT,TMEANPW_PT,TMEANPY_PT,TMEANSD_PT,TMIN_PT,TMINSD_PT,pH_All_Layers,pH_Upper_Layer
NWCA11-1394,5143,1,M,CPL,PRLW,21,19,2.5101,0.8245,0.8965,20,0,2.4266,0.81,0.8847,2,3,5,5,5,0,20,0,0,0,60,60,100,100,100,0,100,0,0,0,180.56,179.438,179.02,0.687558,39.335,8.972,78.891,3.015,16.938,11.89,0.789,6.762,-7.245,6.895,0.875,1.63,1.092,7.98,7.7
NWCA11-1395,5419,1,L,CPL,EH,15,11,1.8997,0.7015,0.809,15,0,1.8997,0.7015,0.809,5,2,7,0,1,0,15,0,0,0,0,0,40,100,100,20,100,100,0,0,21.73,21.369,21.08,0.520723,32.617,14.373,144.228,8.661,26.995,24.43,0.533,18.311,8.106,19.312,0.448,12.19,0.498,5.5,5.5
NWCA11-1396,5420,1,I,CPL,EW,22,15,2.3486,0.7598,0.8734,22,0,2.3486,0.7598,0.8734,6,3,9,0,4,0,21,0,0,0,0,0,0,0,0,0,80,100,0,0,95.36,90.882,87.53,0.606609,26.686,13.492,134.212,6.713,26.795,23.72,0.6,17.349,6.472,18.111,0.453,10.98,0.504,4.65,4.45
NWCA11-1397,5421,1,L,CPL,EH,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,100,80,80,60,80,0,0,353.91,350.751,348.89,0.397119,73.888,12.32,114.975,6.404,16.095,10.64,0.677,4.689,-9.647,4.63,0.793,-1.26,1.016,5.22,5.325
NWCA11-1398,5422,1,I,CPL,PRLW,19,18,1.9138,0.65,0.7937,15,0,1.7949,0.6628,0.7802,1,2,3,0,7,0,14,0,0,0,80,100,100,100,100,20,100,80,0,0,597.57,582.171,574.52,0.313198,96.834,14.323,150.656,10.438,16.819,11.77,0.959,5.649,-7.257,6.3,0.788,-0.47,0.712,6,6
NWCA11-1400,5431,1,L,CPL,EH,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,100,100,80,0,100,0,0,5.69,5.394,5.2,0.525958,47.409,15.748,123.696,6.201,26.597,25.89,0.577,19.435,8.665,19.345,0.529,12.98,0.668,4.475,4.3
NWCA11-1401,5432,1,L,CPL,EH,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,100,100,40,0,100,0,0,27.25,12.105,3.95,0.547148,80.63,11.155,111.251,7.262,23.794,19.96,0.655,14.466,2.322,15.003,0.578,8.97,0.579,4.625,4.6
NWCA11-1402,6142,1,L,CPL,PRLW,33,25,2.6977,0.7715,0.8981,30,1,2.591,0.7618,0.8874,3,13,16,4,4,1,30,0,0,0,0,100,100,100,100,0,100,80,0,1.2,4.21,1.29,0.88,0.581721,48.128,11.239,107.167,7.605,23.588,19.03,0.572,14.527,2.525,14.839,0.51,10.02,0.58,6.9,6.333333333
NWCA11-1404,5433,1,L,CPL,EH,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,100,100,40,100,100,0,0,15.05,10.167,5.71,0.625573,44.192,15.903,122.948,6.454,26.809,24.98,0.539,19.1,8.672,19.407,0.507,13.22,0.655,4.966666667,4.966666667
NWCA11-1406,6145,1,L,CPL,PRLW,31,26,2.6952,0.7849,0.8886,27,2,2.5282,0.7671,0.8704,1,6,7,2,8,2,27,0,0,40,100,100,100,100,100,0,100,80,0,7.4,256.26,254.733,253.06,0.704818,42.289,9.582,79.884,3.102,17.426,12.5,0.902,7.369,-7.373,7.354,0.884,2.24,0.91,7.333333333,5.9
NWCA11-1407,5533,1,I,CPL,PRLW,23,20,2.5194,0.8035,0.9011,23,0,2.5194,0.8035,0.9011,2,5,7,4,4,0,22,0,0,0,60,80,100,100,100,0,100,100,0,0,19.62,18.254,17.66,0.529156,53.056,15.767,122.648,6.036,26.339,26.01,0.642,19.333,8.194,18.873,0.624,12.66,0.832,4.4,4.4
NWCA11-1408,5434,1,L,CPL,EH,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,100,100,60,80,100,0,0,45.7,39.645,37.34,0.56053,32.117,14.649,143.258,8.096,26.625,24.21,0.604,17.721,7.098,18.476,0.463,11.23,0.512,4.975,5
NWCA11-1409,5435,1,L,CPL,EH,4,3,0.343,0.2474,0.1641,4,0,0.343,0.2474,0.1641,3,1,4,0,0,0,4,0,0,0,0,0,0,100,60,60,0,60,0,0,3359.96,3330.85,3300.9,0.405708,26.873,7.736,67.921,3.586,8.543,7.39,0.746,0.379,-8.582,0.898,0.775,-6.63,1.001,5.52,5.52
NWCA11-1410,5769,1,I,CPL,PRLW,31,24,2.9158,0.8491,0.9258,29,1,2.8793,0.8551,0.9242,0,4,4,7,6,0,30,0,0,0,100,100,100,100,100,0,100,100,0,2.2,177.78,171.209,164.06,0.647685,23.941,15.112,119.482,6.292,27.716,23.37,0.657,16.854,5.15,17.344,0.549,10.34,0.562,4.933333333,5.05
NWCA11-1411,5436,1,L,CPL,EH,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,100,100,60,100,80,0,0,82.66,75.045,69.88,0.620881,25.489,13.729,134.956,6.841,26.636,23.89,0.613,17.38,6.536,18.105,0.466,10.87,0.522,4.466666667,4.8
NWCA11-1412,5437,1,L,CPL,EH,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,80,100,60,60,100,0,0,208.7,192.22,186.02,0.362921,71.731,11.169,117.028,7.595,17.81,13.36,0.686,7.167,-6.31,7.355,0.679,0.97,0.811,5.433333333,5.433333333
NWCA11-1413,4084,1,I,CPL,EW,14,9,1.1293,0.4279,0.508,14,0,1.1293,0.4279,0.508,6,1,7,1,0,1,12,0,0,0,0,0,40,80,100,0,100,80,0,0,1729.33,1675.54,1660.82,0.58621,13.875,14.031,85.612,2.249,12.173,12.09,1.044,4.248,-5.035,4.151,1.055,-3.59,1.237,5.966666667,5.85
NWCA11-1414,5438,1,I,CPL,PRLW,20,19,2.1721,0.7251,0.8363,16,1,1.9977,0.7205,0.8166,1,5,6,0,7,2,14,20,0,0,40,100,100,100,60,20,100,100,20,0.4,241.57,235.022,229.93,0.620274,45.047,14.44,109.697,3.914,22.765,18.71,0.794,12.688,-2.168,12.518,0.705,6.67,0.883,5.6,5.666666667
NWCA11-1415,5772,1,M,CPL,PRLW,43,31,3.0553,0.8123,0.9338,42,0,3.0261,0.8096,0.9323,7,11,18,5,7,0,40,0,0,0,40,80,100,100,100,0,100,100,0,0,42.51,39.862,38.25,0.417275,44.693,15.057,145.984,8.222,26.273,25.41,0.552,18.703,7.763,18.896,0.405,11.99,0.549,4.92,4.6
NWCA11-1416,4083,1,L,CPL,EW,11,5,0.9349,0.3899,0.3641,11,0,0.9349,0.3899,0.3641,6,2,8,2,0,0,10,0,0,0,0,0,0,100,100,0,100,0,0,0,64.21,48.992,40.97,0.419851,43.705,16.097,140.389,7.625,26.805,25.99,0.592,19.554,8.762,19.571,0.485,13.11,0.573,5.1,5.1
NWCA11-1417,4082,1,L,CPL,EH,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,100,100,100,100,100,0,0,106.32,104.045,102.85,0.721382,29.279,15.678,135.135,6.212,26.338,23.45,0.765,16.705,5.287,17.11,0.552,9.96,0.631,6.666666667,5.1
NWCA11-1418,4081,1,L,CPL,EH,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,100,100,100,60,20,0,0,5.89,5.89,5.88,0.719705,51.093,23.889,149.402,6.031,26.235,26.47,0.59,20.19,10.249,20.061,0.511,13.91,0.679,6.65,6.65
NWCA11-1420,4080,1,L,CPL,EW,26,19,1.2108,0.3716,0.5163,26,0,1.2108,0.3716,0.5163,6,5,11,1,2,1,25,0,0,0,0,80,100,80,100,0,100,100,0,0,296.7,285.079,282.61,0.563109,54.816,11.281,81.221,1.899,18.551,12.77,1.082,7.218,-10.42,6.438,0.95,1.66,0.943,6.7,6.7
NWCA11-1421,6143,1,M,CPL,PRLW,17,14,2.2204,0.7837,0.8582,17,0,2.2204,0.7837,0.8582,0,0,0,4,7,0,17,0,0,0,100,100,100,100,100,0,100,100,0,0,150.53,140.759,131.87,0.41529,71.522,10.974,99.44,5.207,18.953,13.75,0.923,7.644,-6.207,7.764,0.77,1.54,0.829,7.433333333,7.6
NWCA11-1423,6146,1,I,CPL,PRLW,34,26,3.1242,0.886,0.9455,32,0,3.0902,0.8916,0.9442,2,9,11,1,10,1,30,0,0,0,100,100,100,100,80,0,100,100,0,0,1.02,0.961,0,0.820949,69.353,19.412,159.703,9.595,27.453,24.46,0.507,20.938,11.386,21.377,0.473,17.41,0.641,,
NWCA11-1465,4815,2,I,IPL,PRLW,16,13,1.4962,0.5396,0.6837,13,0,1.4917,0.5816,0.6834,2,9,11,0,2,0,11,100,100,0,60,80,40,100,60,100,0,0,0,0,1.04,1.036,0.99,0.805688,72.505,19.407,162.038,9.513,27.329,24.79,0.498,20.668,11.062,21.133,0.464,16.54,0.571,,
NWCA11-1465,4816,1,I,IPL,PRLW,9,7,1.3208,0.6011,0.6339,9,0,1.3208,0.6011,0.6339,0,6,6,0,2,0,8,100,100,0,20,80,40,100,60,100,0,0,0,0,1.02,0.484,0,0.816391,69.266,19.416,159.733,9.593,27.438,24.47,0.507,20.951,11.365,21.362,0.469,17.44,0.633,,
NWCA11-1473,4812,2,L,IPL,PRLH,17,12,0.7632,0.2694,0.3407,14,0,0.7235,0.2742,0.3322,3,12,15,0,0,1,13,40,100,0,0,0,0,100,100,100,100,60,0,0,1.28,2.10E-02,-0.12,0.545538,44.403,18.116,153.364,8.892,27.53,25.26,0.49,20.18,10.77,20.786,0.429,15.09,0.481,6.7,6.7
NWCA11-1473,4814,1,L,IPL,PRLH,9,7,0.281,0.1279,0.1132,9,0,0.281,0.1279,0.1132,1,8,9,0,0,0,9,100,100,0,0,0,0,100,100,100,0,0,0,0,1.82,-0.737,-1.25,0.650133,83.707,18.833,169.337,10.742,27.345,25.27,0.604,20.601,11.188,21.083,0.493,15.93,0.491,,
NWCA11-1477,4818,1,L,IPL,PRLH,11,9,1.1888,0.4958,0.6197,7,1,0.9405,0.4833,0.5359,4,5,9,0,0,1,6,0,0,0,0,0,0,80,100,20,100,40,0,0.04,1187.36,1186.83,1186.27,1.24347,2.947,1.781,13.104,0.185,20.105,20.32,0.963,11.519,1.678,11.484,0.704,2.72,0.839,8.233333333,8.233333333
NWCA11-1478,4802,1,M,IPL,PRLH,55,26,1.414,0.3529,0.552,28,16,1.6156,0.4848,0.6095,15,30,45,0,0,3,35,20,20,0,0,0,0,100,100,20,80,0,0,82.22,3.83,0.799,-0.01,0.853572,19.127,15.717,128.174,7.239,28.351,25.54,0.498,21.205,12.652,21.682,0.431,16.87,0.568,7.533333333,7.5
NWCA11-1481,4803,1,I,IPL,PRLH,17,11,0.9374,0.3309,0.5436,16,0,0.9316,0.336,0.5429,4,10,14,0,0,0,14,100,100,0,0,0,0,60,80,100,0,0,0,0,0.26,0.164,-0.01,0.755182,67.373,18.815,160.972,9.672,27.181,24.9,0.493,20.49,10.832,20.945,0.498,16.08,0.651,,
NWCA11-1489,4697,1,I,W,PRLW,50,21,2.0279,0.5184,0.7941,39,3,1.8625,0.5084,0.7725,13,26,39,5,0,0,41,0,0,0,0,0,0,100,100,40,100,80,60,4.44,0.31,9.20E-02,0,0.853686,32.155,17.094,144.316,7.782,27.191,25.08,0.555,20.545,10.852,20.444,0.442,16.01,0.497,7.475,7.3
NWCA11-1489,4704,2,I,W,PRLW,56,21,1.8181,0.4517,0.7257,44,4,1.7125,0.4525,0.7123,14,31,45,4,0,1,48,0,0,0,0,0,100,100,100,40,100,80,40,2.28,1187.78,1187.54,1187.42,1.24347,2.947,1.791,13.167,0.187,20.105,20.3,0.963,11.507,1.678,11.484,0.704,2.71,0.839,8.9,8.9
NWCA11-1501,4695,1,I,W,PRLW,59,23,2.3841,0.5847,0.8389,47,5,2.2425,0.5824,0.8262,11,31,42,4,3,3,48,0,0,40,80,80,100,100,100,20,100,80,0,2.5,1.56,0.755,0,0.840837,73.539,17.483,163.6,9.346,27.083,24.31,0.483,19.938,9.612,20.251,0.446,15.57,0.567,6.7,6.7
NWCA11-1501,4696,2,I,W,PRLW,81,28,3.0181,0.6868,0.9199,65,5,2.793,0.6691,0.8987,24,35,59,5,3,4,66,0,0,20,60,100,40,100,100,0,100,80,0,15.6,3.42,2.213,0.27,1.24688,4.687,9.52,48.098,3.80E-02,17.353,19.72,0.589,14.856,10.402,14.477,0.418,10,0.486,6.866666667,6.866666667
NWCA11-1504,4703,1,L,W,PRLW,62,26,2.9063,0.7042,0.9092,57,2,2.8741,0.7109,0.9078,16,34,50,4,3,0,57,0,0,20,80,100,80,100,100,100,100,60,20,0.58,1189.71,1189.54,1189.24,1.22957,2.996,1.787,13.133,0.182,20.001,20.26,0.956,11.477,1.573,11.414,0.663,2.69,0.726,8.075,8.075
NWCA11-1511,4715,1,L,W,PRLW,57,29,2.5002,0.6184,0.8518,45,4,2.3377,0.6141,0.8369,12,27,39,3,4,0,51,0,0,20,60,20,100,100,100,80,100,60,0,2.76,1.41,0.675,-0.01,1.21275,12.274,3.752,100.202,5.105,28.252,25.82,0.417,22.04,13.373,22.112,0.37,18.26,0.459,8.2,8.2
NWCA11-1514,4702,1,I,W,PRLW,60,23,2.8903,0.7059,0.8917,55,1,2.8431,0.7095,0.8884,13,36,49,3,3,2,57,0,0,0,20,20,60,100,100,40,100,80,40,1.28,1.05,0.452,8.00E-02,0.814682,70.902,19.414,161.779,9.547,27.567,24.81,0.512,21.087,11.709,21.548,0.443,17.36,0.474,,
NWCA11-1515,4682,1,M,EMU,PRLH,78,32,2.4973,0.5732,0.8764,56,18,2.4332,0.6045,0.8691,15,45,60,0,2,9,54,0,0,0,40,0,20,100,100,0,100,100,0,45.88,5.81,1.262,0,0.760782,77.141,16.713,149.461,6.809,27.65,28.28,0.462,23.808,16.85,23.697,0.419,19.33,0.523,8.5,8.5
NWCA11-1515,4724,2,M,EMU,PRLH,65,28,2.4681,0.5912,0.8528,51,10,2.2805,0.58,0.8105,12,36,48,0,2,6,50,0,0,0,0,20,100,100,100,0,100,100,0,32,4.22,1.473,0.67,0.853572,19.127,15.719,128.042,7.23,28.351,25.53,0.498,21.208,12.652,21.682,0.431,16.89,0.568,7.75,7.9
NWCA11-1516,4761,2,M,IPL,PRLH,31,18,1.967,0.5728,0.8019,24,5,2.0496,0.6449,0.7998,3,22,25,0,2,9,21,0,0,0,0,0,20,100,100,0,100,80,0,131.88,1.43,0.727,-0.01,0.631577,47.847,16.792,123.803,6.427,26.834,24.35,0.527,18.981,8.503,19.447,0.548,13.61,0.665,6.7,6.7
NWCA11-1516,5439,1,M,IPL,PRLH,36,19,1.9779,0.5519,0.7565,25,7,2.3571,0.7323,0.8697,3,24,27,0,2,8,23,0,0,0,20,0,20,100,100,0,100,100,0,126.48,628.29,622.544,618.93,0.62354,37.683,8.258,43.599,1.063,16.779,11.34,1.276,5.209,-12.892,3.735,1.09,-0.93,1.026,,
NWCA11-1528,4793,1,I,IPL,PRLW,46,26,2.4496,0.6398,0.8646,42,3,2.3746,0.6353,0.8435,11,14,25,0,9,3,40,0,0,0,100,100,20,100,100,0,100,100,0,31.7,1188.81,1188.48,1187.74,1.23255,2.985,1.8,13.237,0.188,20.023,20.29,0.957,11.495,1.596,11.429,0.672,2.7,0.751,8.9,8.9
NWCA11-1529,4760,1,M,CPL,PRLW,31,24,1.8856,0.5491,0.7659,29,1,1.7968,0.5336,0.7003,3,10,13,0,5,5,23,0,0,0,100,100,100,100,100,0,100,100,0,38.8,1.52,0.811,0,0.837732,19.436,15.316,126.573,7.211,28.753,24.45,0.566,21.162,11.954,21.353,0.419,17.88,0.455,7.266666667,6.8
NWCA11-1531,5440,1,L,IPL,PRLW,51,30,2.5102,0.6384,0.8794,47,4,2.4463,0.6354,0.8753,7,26,33,1,4,4,41,0,0,0,100,100,80,100,100,0,100,100,0,4.8,0.61,0.601,0.34,0.737211,51.551,16.373,125.034,6.736,26.713,23.73,0.508,18.736,8.291,18.979,0.545,13.74,0.655,7,7
NWCA11-1532,5441,1,M,IPL,PRLH,22,17,1.1606,0.3755,0.537,12,8,0.7104,0.2859,0.2949,3,9,12,0,2,2,19,0,60,0,0,0,40,100,100,60,100,60,0,103.3,5.00E-02,5.00E-02,5.00E-02,0.553682,50.434,10.888,106.727,7.426,24.005,19.66,0.599,15.149,3.132,15.648,0.527,10.64,0.619,4.075,4.333333333
NWCA11-1533,4759,1,I,CPL,PRLH,31,25,1.9726,0.5744,0.8094,27,3,1.8642,0.5656,0.7963,5,11,16,0,3,8,18,0,0,0,0,60,80,80,100,0,100,100,0,4.38,2.85,0.868,-5.00E-02,0.621376,47.352,16.827,123.439,6.435,26.812,23.87,0.54,19.062,8.77,19.499,0.544,14.25,0.684,3.1,3.1
NWCA11-1535,5442,1,M,IPL,PRLW,49,26,1.9746,0.5074,0.8034,39,8,1.7185,0.4691,0.6854,9,25,34,1,4,4,40,0,0,0,100,100,100,100,100,0,100,100,0,135.08,1.69,0.77,0,0.74403,51.661,17.849,124.505,6.445,26.607,24.1,0.596,19.174,8.832,19.567,0.544,14.24,0.613,7.9,7.9
NWCA11-1539,4722,1,I,EMU,PRLH,52,31,2.524,0.6388,0.8846,47,5,2.4568,0.6381,0.8803,6,27,33,5,1,2,48,0,0,0,0,0,80,100,100,0,100,100,0,4.28,1225.8,1225.33,1224.86,0.790443,33.297,7.088,45.711,0.955,20.249,18.16,0.84,10.354,-1.946,10.341,0.655,2.54,0.597,6.7,6.7
NWCA11-1539,4723,2,I,EMU,PRLH,49,28,2.4861,0.6388,0.8679,44,5,2.4091,0.6366,0.8615,5,25,30,4,1,2,46,0,0,0,0,0,60,100,100,0,100,100,0,4.24,0.012,0.002,-4.00E-03,0.894738,47.696,11.867,104.174,4.201,29.507,28.06,0.527,25.411,19.847,25.313,0.471,22.77,0.469,8.15,8.15
NWCA11-1542,4545,2,I,IPL,PRLW,50,27,1.96,0.501,0.7847,44,4,1.9053,0.5035,0.7793,10,16,26,4,7,0,47,0,0,0,100,100,80,100,100,0,100,100,0,1.94,1.11,0.922,8.00E-02,0.736923,80.864,19.419,164.886,10.317,27.363,25.26,0.517,20.793,11.367,21.321,0.468,16.33,0.548,,
NWCA11-1542,4681,1,I,IPL,PRLW,54,27,2.0186,0.506,0.7929,48,4,1.9731,0.5097,0.7888,12,16,28,4,7,0,51,0,0,0,100,100,80,100,100,0,100,100,0,1.74,2175.9,2175.76,2175.74,0.788607,22.674,8.422,56.026,0.996,15.832,16.48,0.643,7.975,-0.623,8.543,0.467,-0.53,0.573,7.225,6.933333333
NWCA11-1543,4552,1,M,EMU,PRLW,81,36,2.9795,0.678,0.9228,72,4,2.8502,0.6665,0.9086,7,36,43,5,7,3,70,0,0,0,20,60,100,100,100,0,100,100,0,28.78,1.36,1.151,0.82,0.735129,50.457,16.25,121.351,5.975,26.87,23.4,0.503,18.795,8.404,19.054,0.558,14.19,0.709,5.35,5.35
NWCA11-1546,4721,1,I,IPL,PRLW,72,34,2.7136,0.6345,0.8947,61,8,2.6309,0.64,0.8809,13,33,46,0,8,10,53,0,0,0,60,100,100,100,100,0,100,100,0,22.02,1.4,1.4,1.4,1.30192,15.136,12.786,98.885,5.341,27.878,26.09,0.393,21.864,13.158,21.948,0.359,17.64,0.46,7.88,7.8
NWCA11-1547,4720,1,M,EMU,PRLW,71,31,2.5651,0.6018,0.8627,60,8,2.4497,0.5983,0.8484,12,21,33,5,10,2,66,0,0,0,100,100,100,100,100,0,100,100,0,10.38,27.31,8.886,4.73,1.13548,9.089,16.267,79.032,0.02,17.309,19.46,0.507,14.496,9.578,14.053,0.411,9.54,0.556,6.8,6.8
NWCA11-1552,4719,1,L,IPL,PRLW,39,21,1.9182,0.5236,0.7837,38,1,1.917,0.527,0.7836,7,15,22,3,5,2,36,0,60,0,80,80,80,80,100,60,100,100,0,0.02,1.53,1.53,1.53,0.783023,41.344,17.259,151.469,8.21,27.498,24.26,0.53,20.116,11.232,21.027,0.406,15.97,0.417,6.566666667,6.566666667
NWCA11-1554,4758,1,I,EMU,PRLW,76,34,2.8932,0.6681,0.9199,68,5,2.8661,0.6792,0.9188,15,30,45,3,8,8,61,0,0,0,100,100,100,100,100,0,100,100,0,1.34,0,0,0,1.12833,8.04,14.9,72.48,1.70E-02,17.09,20.89,0.566,14.468,8.973,13.955,0.532,8.04,0.713,7.1,7.1
NWCA11-1555,4792,1,I,EMU,PRLH,31,21,1.3226,0.3851,0.5299,22,6,1.8397,0.5952,0.7853,2,16,18,3,2,3,27,20,60,0,0,60,20,100,100,40,100,100,0,75.34,1.02,0.455,0,0.827818,69.484,19.406,159.675,9.594,27.475,24.46,0.506,20.964,11.418,21.399,0.479,17.47,0.652,7.8,7.8
NWCA11-1559,4718,1,L,IPL,PRLW,22,9,1.8433,0.5963,0.7412,22,0,1.8433,0.5963,0.7412,7,1,8,3,4,1,21,0,0,0,100,20,40,100,100,0,100,100,0,0,4.35,0.831,0,0.760782,77.141,18.727,149.486,6.811,27.65,28.27,0.462,23.804,16.85,23.697,0.419,19.33,0.523,7.7,7.7
NWCA11-1570,5323,2,I,IPL,PRLH,20,6,1.6398,0.5474,0.7605,18,1,1.6357,0.5659,0.7603,13,6,19,0,1,6,11,0,0,0,0,0,20,80,100,0,100,100,0,0.08,0.73,0.642,0.38,0.466277,51.13,19.802,149.536,7.692,26.585,25.5,0.544,19.966,9.398,19.69,0.52,14.43,0.614,5.475,5.95
NWCA11-1570,5443,1,I,IPL,PRLH,23,8,1.6031,0.5113,0.763,18,1,1.4646,0.5067,0.7424,11,10,21,0,0,10,10,0,0,0,0,0,0,40,100,0,40,100,0,0.08,0,0,0,1.12833,8.04,14.848,72.078,1.70E-02,17.09,20.88,0.566,14.465,8.973,13.955,0.532,8.05,0.713,6.5,6.5
NWCA11-1574,5322,2,M,IPL,PRLH,26,12,1.3935,0.4277,0.6408,22,3,1.3597,0.4399,0.636,10,13,23,0,0,6,15,0,0,0,0,0,0,100,100,0,0,40,0,0.92,460.13,455.774,453.16,0.699016,38.416,9.319,51.963,1.072,16.841,10.27,1.312,4.393,-14.677,3.419,1.178,-1.48,1.152,,
NWCA11-1574,5408,1,M,IPL,PRLH,43,17,1.4554,0.387,0.6559,31,8,1.3666,0.398,0.642,12,24,36,0,0,10,20,0,0,0,0,0,0,100,100,0,0,60,0,2.66,0,0,0,0.61879,61.529,15.857,135.147,8.508,25.139,20.52,0.596,17.08,5.768,16.973,0.533,13.64,0.584,4.9,4.9
NWCA11-1581,5321,2,I,EMU,PRLW,67,40,2.9738,0.7073,0.9229,60,5,2.8795,0.7033,0.9182,3,19,22,1,14,9,51,0,0,60,100,80,80,100,100,0,100,0,0,2.08,2.13,2.024,1.9,0.879381,86.892,20.524,129.595,3.833,28.066,29.27,0.451,24.503,17.623,24.125,0.5,19.74,0.758,6.35,6.35
NWCA11-1581,5410,1,I,EMU,PRLW,55,36,2.9162,0.7277,0.9189,48,3,2.8567,0.7379,0.9154,4,8,12,1,16,0,51,0,0,0,100,80,100,100,100,0,100,20,0,0.52,1.42,1.283,1.24,0.350456,56.35,11.477,114.663,7.598,23.23,18.26,0.684,13.525,1.395,14.03,0.639,8.79,0.653,4.675,4.6
NWCA11-1582,5320,2,M,CPL,PRLW,60,41,2.8164,0.6879,0.9025,57,3,2.7699,0.6851,0.8996,4,28,32,0,13,9,45,20,60,0,100,100,100,100,100,100,80,80,0,2.26,1.89,1.804,1.7,0.890133,86.263,17.353,130.832,3.207,27.876,29.57,0.495,24.34,17.635,24.169,0.519,19.11,0.8,7.6,7.6
NWCA11-1582,5444,1,M,CPL,PRLW,45,34,2.6931,0.7075,0.8936,41,4,2.6284,0.7078,0.8888,1,20,21,0,12,6,37,40,40,0,100,100,100,100,100,100,100,100,0,3.92,0.51,0.431,0.43,0.87344,69.389,18.582,124.314,4.013,27.854,28.32,0.392,24.372,18.485,24.562,0.369,20.42,0.602,7.733333333,7.733333333
NWCA11-1583,5445,1,I,CPL,PRLW,31,22,1.8842,0.5487,0.7574,28,2,1.803,0.5411,0.7443,2,7,9,1,8,1,29,0,0,0,0,0,100,100,100,0,0,100,0,1.04,2.21,1.408,0.73,1.18869,7.477,8.585,44.703,3.30E-02,20.103,22.49,0.542,15.843,8.91,15.201,0.473,9.2,0.641,6.9,6.6
NWCA11-1586,5446,1,M,CPL,PRLH,11,11,1.6431,0.6852,0.7608,9,2,1.3139,0.598,0.6556,0,5,5,0,1,3,8,0,0,0,0,0,0,0,100,40,0,100,0,1.52,0.89,0.188,0.01,0.348449,67.2,10.937,111.869,7.493,23.116,19.75,0.66,14.196,1.185,14.15,0.566,8.64,0.534,5.475,5.433333333
NWCA11-1587,4944,1,M,CPL,PRLH,8,7,0.8418,0.4048,0.4441,8,0,0.8418,0.4048,0.4441,0,3,3,0,2,1,7,0,0,0,0,0,0,60,0,100,0,60,0,0,1.42,0.912,-6.00E-02,1.04472,14.338,13.83,102.976,4.649,28.306,25.65,0.588,21.977,13.118,22.024,0.457,18.31,0.59,7.85,7.666666667
NWCA11-1589,4945,1,L,IPL,PRLW,43,31,2.8093,0.7469,0.9017,41,2,2.7687,0.7456,0.899,3,17,20,0,10,5,37,0,0,0,40,100,100,100,100,0,100,100,0,1.84,1.29,0.358,0,0.524938,52.508,11.096,109.771,7.703,23.07,18.57,0.585,13.835,2.127,14.776,0.495,9.1,0.541,4.95,4.95
NWCA11-1591,4946,1,M,IPL,PRLW,41,28,2.7117,0.7302,0.8996,36,2,2.6759,0.7467,0.8978,1,10,11,0,13,2,36,20,60,0,20,80,80,80,60,0,60,60,0,1.2,1.12,0.924,0.76,0.765516,74.782,18.618,165.038,9.837,26.144,24.76,0.5,19.646,9.002,19.475,0.419,14.53,0.497,,
NWCA11-1599,4947,1,I,CPL,PRLW,34,26,2.593,0.7353,0.9014,34,0,2.593,0.7353,0.9014,1,10,11,0,8,5,29,0,0,0,100,80,80,80,100,0,100,80,0,0,102.17,76.623,70.49,1.17209,6.761,7.845,39.334,5.00E-02,20.454,22.86,0.614,16.112,9.551,15.551,0.462,9.36,0.53,,
NWCA11-1602,4949,1,M,CPL,PRLW,14,8,1.6747,0.6346,0.7611,14,0,1.6747,0.6346,0.7611,0,3,3,0,5,2,12,0,0,0,100,100,100,40,60,100,0,20,0,0,0.9,0.807,0.72,0.585957,48.532,17.015,126.473,5.929,26.558,25.46,0.52,19.267,8.549,19.285,0.525,13.07,0.614,5.7,5.7
